decimalLatitude;decimalLongitude
38.719913;-9.129403
36.81315;-2.125425
42.635588;2.419169
42.043094;2.931031
36.920185;-3.417935
42.3187;3.3153
42.307536;3.286212
42.275391;2.961697
41.392168;1.936189
38.151668;-6.984883
39.459809;-5.882763
43.714355;7.346862
38.826787;-9.440562
41.862057;3.162195
37.025097;-7.958328
38.176638;-7.069004
38.579676;-8.677879
40.206737;-5.096727
38.950379;-8.105491
37.027149;-7.976371
41.638657;2.694928
36.596466;-4.639782
44.138224;9.679544
44.832265;-0.592979
38.028338;-1.514091
39.81768;-0.240563
37.655195;-1.006748
39.397345;-3.210005
48.479882;3.116192
42.321739;-7.275621
44.803056;-0.058611
37.65521;-1.006788
45.154507;9.158388
41.330371;1.915634
47.200441;-0.876513
45.147188;8.050444
39.468611;3.136111
38.009864;-1.245337
42.524626;3.108663
44.019341;4.871532
37.829526;-1.007616
43.849415;4.324222
48.621111;4.051111
48.805213;2.372379
43.362743;-1.756951
48.979068;2.342306
37.975332;-1.122777
39.439486;-0.369787
38.057409;-1.212654
36.99979;-2.776892
45.257676;8.869198
40.168255;-3.911139
45.610477;5.157397
43.496671;-1.503559
43.45046;3.687794
37.155155;-8.742438
39.462208;-8.384716
48.564713;-3.133091
43.589961;7.128292
37.884892;-4.777734
39.744339;3.136158
33.603039;-7.633075
47.858889;-2.442222
37.233639;-7.982973
45.647467;8.80586
44.804715;1.050517
45.457136;9.127004
45.770921;4.834797
41.288195;1.639652
39.737217;3.281231
41.795599;3.026379
43.292977;5.463465
47.609167;-2.719167
40.533331;-3.939944
39.074444;-8.168333
41.924836;8.836215
37.139805;-8.538235
42.558215;-1.845124
47.854305;-1.722601
44.835365;-0.583086
44.785422;-0.684407
49.989518;1.883794
39.578305;-0.616186
45.131434;7.487239
43.877506;-1.303688
45.59975;9.874233
42.482778;3.125556
43.215072;-0.617689
40.978596;-5.612047
41.889444;3.190556
43.210141;2.399993
42.409508;-7.051136
39.461389;-8.434167
38.665135;0.020814
37.272606;-7.005421
48.745339;2.29996
40.498308;-4.421739
43.137413;5.976704
38.680796;-0.954894
39.074444;-8.168333
48.01074;2.739247
37.155155;-8.742438
48.810511;1.062116
42.579722;3.013056
46.788118;0.579039
39.677711;-0.342905
44.000642;1.350283
42.976944;2.986389
43.483801;-5.35307
41.492848;2.153184
47.852016;4.081044
43.763585;0.46829
36.697989;-6.104602
48.941934;2.174517
40.321907;-0.574295
39.878889;3.013611
43.107122;-0.43775
43.156048;6.483746
44.945794;-0.265395
45.49623;9.22044
48.881129;2.372215
36.742889;-5.168336
39.646917;-0.425714
48.869353;2.363434
47.972508;2.771224
49.221975;-0.424301
37.692249;-1.762839
41.318513;-6.40062
48.594506;2.436846
36.727199;3.007968
38.762734;-9.331574
41.698363;8.896853
37.19071;-4.429984
42.32278;-7.274691
48.868242;2.389984
45.047173;9.682275
40.39445;-7.293665
48.422489;7.639253
42.533745;3.076675
44.89907;8.861297
40.102778;-3.688056
43.663763;5.471437
42.907379;2.983341
49.274722;4.014167
38.345856;-0.652739
39.87918;3.013533
48.802103;2.992864
48.81567;-1.558079
43.236851;-8.331479
38.672151;-9.16149
43.128256;6.356766
48.808367;2.386363
45.188639;5.693295
41.578643;2.038104
39.55359;2.702898
40.144655;-5.25279
41.387778;2.150556
45.439759;6.634101
44.442486;8.893296
46.486946;-0.666517
45.610477;5.157397
41.500115;2.107626
45.053696;4.945867
48.980556;2.264444
48.891769;2.336251
43.71474;7.059088
38.347616;-0.771268
43.782331;7.508224
48.6778;2.369714
46.535792;0.253411
40.421064;-3.612129
30.328264;-5.833702
43.284444;-0.2575
39.533773;2.775667
43.282881;5.313444
45.919722;1.523611
45.97736;5.596781
36.759353;-4.428928
41.693121;2.369942
43.564271;7.018077
41.589271;9.280228
41.031175;0.966523
43.706704;7.226494
43.106944;-0.437778
43.823191;5.315479
42.634167;9.466111
40.545452;-3.892565
48.865232;2.275266
45.600965;4.060769
44.427425;9.009638
48.552455;2.424285
43.155228;6.480807
45.188044;9.143014
42.767253;-8.556877
44.971136;7.769145
37.139805;-8.538235
48.889245;2.348636
43.129439;5.949456
43.530914;5.404552
43.640564;3.863264
41.198589;-7.531873
43.564404;7.017941
41.919261;8.724403
39.436827;3.181352
41.885546;3.181552
39.104462;-8.804523
38.998309;1.286777
40.845279;0.735261
49.874443;2.328367
49.207222;1.155556
45.689935;9.831822
37.179635;-8.471487
44.005933;8.171319
43.712529;7.296751
42.53275;3.071092
43.362549;3.166718
43.395556;3.502222
43.257237;6.663316
48.479919;3.116354
44.111346;9.835663
43.422699;6.766631
38.818694;0.03112
45.617249;0.166645
40.580853;-4.014794
45.184613;0.685388
48.701055;5.30058
48.720332;1.654044
44.430664;8.893459
42.445;3.164722
43.56451;7.01802
41.505089;-5.749355
37.16978;-3.585133
39.468611;3.136111
43.293392;6.555878
45.88615;1.294421
45.590234;9.300545
43.241944;6.576389
43.564457;7.017975
44.227767;0.510599
41.499444;1.852778
43.666389;3.882222
46.912791;4.696874
42.199093;-2.257642
39.526974;3.150522
38.611564;-0.917243
43.359513;-1.76383
40.410256;-3.629126
38.711501;1.413651
43.149979;-8.242863
47.385301;0.757656
43.146934;6.39468
43.146857;6.394266
42.374763;-8.718473
45.480185;9.249071
41.134379;1.39883
41.993342;8.830396
45.554707;9.076307
43.498611;-3.5575
41.528792;-3.208159
43.14656;6.394846
46.506831;-0.949283
43.133568;5.913067
35.14;-4.1925
39.710925;-0.341291
43.271766;-1.939802
45.591984;7.799948
