latitude;longitude
37.305874;13.87238815
47.28425234;23.07428102
37.30190954;14.05394592
47.29483212;22.94406383
37.30646619;13.88765549
47.33155707;22.72716991
37.3145263;13.75397323
47.30486918;22.93330938
37.31292812;13.74592442
37.29858883;13.85224196
37.27118431;14.39252129
47.27860538;22.81948607
47.28594754;22.64932291
47.2828715;22.84073025
47.28303035;22.79243113
47.15945333;23.84561221
37.27800711;13.95740006
37.28066023;13.82660155
47.30955715;22.68842283
37.29104791;13.76662209
47.66246571;19.14862492
37.27712321;13.90063579
47.32702638;22.51072597
37.28756938;13.87192064
47.32944468;22.4988311
37.2797172;13.73030798
47.29978956;22.80451754
37.28616859;13.93880384
47.31921337;22.64892249
37.28731633;13.9227952
37.26840066;14.12738349
47.33039272;23.10764388
37.29601857;13.90292457
47.71938521;18.79934747
47.36952209;22.42564307
47.33296547;22.95400557
47.37098251;22.60092147
47.3910336;22.4956575
47.31578711;23.10704199
47.33370347;22.99577827
47.34372899;22.85059996
47.36179999;22.83512915
47.33325214;23.02042086
47.29743889;23.09548433
47.2396662;22.48721563
47.18621058;22.96068539
47.22007696;22.6946018
47.23775638;22.50740438
47.57178599;19.24964899
47.22950863;22.66003956
47.2355694;22.56487806
37.19517552;14.05368585
37.22861246;13.80840825
47.19951786;22.9732821
37.22075671;14.14553749
45.51599784;6.072492036
47.23423868;22.64296972
37.239358;13.66270998
45.45764077;4.751445217
47.29463178;22.14940801
37.22573921;14.18433759
45.51489728;5.950245361
47.26853634;22.38196241
37.2033322;13.8554252
45.4646263;4.758171321
45.40723479;4.723283101
45.39836342;4.730287844
45.42870705;4.731611816
45.418343;4.725689416
45.49770831;5.975441084
45.43976081;4.73934777
47.24780589;22.27312386
37.23361892;13.96495375
47.17974112;22.84202887
37.21313439;14.4086486
47.23878122;22.31238997
37.24062189;13.83484177
47.25311316;22.25225947
37.24893594;13.72680772
47.27978714;22.00817039
47.17255453;22.96291935
47.2301958;22.46155816
47.25436003;22.28108883
47.25484768;22.30953723
45.37126663;4.744601988
45.35557552;4.749927134
47.25562414;22.29544463
45.39266215;4.740180775
47.56511909;19.19166982
45.38519686;4.721820114
45.39260585;4.702087256
45.31131514;4.752333584
45.32466624;4.753014276
45.31742158;4.751533018
45.34703743;4.739434941
45.33841947;4.747974204
47.31086997;22.21962361
47.318732;22.17520492
47.32617702;22.24962273
47.26738437;22.57222414
47.34604272;22.11832422
47.34330156;22.16429084
47.27510647;22.72262617
47.28185095;22.7363343
45.74710808;7.370883842
47.25494979;22.86635982
45.64293266;4.734874666
47.31432716;22.4454259
47.33486653;22.27973369
45.57300992;6.182026511
45.56351456;6.132199038
45.70663779;7.251460335
45.70147751;7.232234884
45.71887346;7.234776955
45.71324588;7.241815933
45.64215741;4.702993251
45.64513403;4.754879238
47.30747073;22.06737313
47.24482306;22.59831265
47.60683446;19.00566406
47.27086266;22.39317032
47.58582365;19.26806285
47.27546294;22.35201513
47.26932412;22.41218334
47.22251182;22.92379063
45.49565662;4.806293268
47.2371233;22.79048868
45.49689911;4.816312433
47.2367837;22.86696327
47.22804783;22.89632247
45.50674819;4.830691073
45.51939397;5.976478102
45.51976107;6.014068834
45.47152589;4.761957494
45.5306352;5.94855453
45.47194367;4.775516155
45.54448772;6.112295221
45.49022378;4.79637571
44.93927;7.355719315
37.81680936;12.90450899
45.02724691;4.882556843
37.8109548;12.81583863
45.02982893;4.909715692
37.80546171;13.23114264
45.03657548;4.856073339
37.80295234;13.33419148
45.03195666;4.928893298
45.0393007;4.825129954
45.04280888;4.938891482
45.05950837;4.936531252
45.04596677;4.885874334
45.02047401;4.83248345
44.96667154;4.843123996
37.81393081;12.99773953
37.80696688;13.10648047
37.82716395;13.19881425
37.84976315;12.75071507
